French Sentence,English Translation,POS Sequence,Dependency Sequence,Valence,Relative Position
"Il ne voit plus de sens à sa vie, à son avenir, à rien.","He no longer sees meaning in his life, in his future, in anything.",PRON ADV VERB ADV ADP NOUN ADP DET NOUN PUNCT ADP DET NOUN PUNCT ADP PRON PUNCT,"voit-nsubj-il,voit-advmod-plus,voit-obj-sens,sens-case-de,sens-obl-vie,vie-det-sa,sens-obl-avenir,avenir-det-son,sens-obl-rien",-0.9,2
La vie est un champ de bataille perdu d'avance et sans fin.,Life is a battle lost in advance and endless.,DET NOUN AUX DET NOUN VERB ADP NOUN CCONJ ADV ADJ PUNCT,"est-nsubj-vie,est-cop-est,est-obj-champ,champ-det-un,champ-amod-perdu,perdu-obl-avance,champ-advmod-sans,champ-amod-fin,vie-det-la",-1,2
Le désespoir est une nuit sans étoiles et sans lune.,Despair is a starless and moonless night.,DET NOUN AUX DET NOUN ADV NOUN CCONJ ADV NOUN PUNCT,"est-nsubj-désespoir,est-cop-est,est-obj-nuit,nuit-det-une,nuit-advmod-sans,nuit-amod-étoiles,nuit-advmod-sans,nuit-amod-lune,désespoir-det-le",-1,2
"Elle se sent au fond du vide, seule et brisée.","She feels at the bottom of emptiness, alone and broken.",PRON PRON VERB ADP DET NOUN PUNCT ADJ CCONJ ADJ PUNCT,"sent-nsubj-elle,sent-obj-se,sent-obl-fond,fond-case-au,fond-nmod-vide,vide-case-du,sent-amod-seule,seule-conj-brisée",-1,2
La tristesse est une prison dont elle ne peut s'échapper.,Sadness is a prison from which she cannot escape.,DET NOUN AUX DET NOUN PRON PRON ADV AUX ADV VERB PUNCT,"est-nsubj-tristesse,est-cop-est,est-obj-prison,prison-det-une,peut-nsubj-elle,peut-obj-se,peut-advmod-pas,peut-xcomp-échapper,tristesse-det-la",-1,2
Il a les yeux rougis par le chagrin et la fatigue.,His eyes are red with sorrow and fatigue.,PRON AUX DET NOUN VERB ADP DET NOUN CCONJ DET NOUN PUNCT,"a-nsubj-il,a-obj-yeux,yeux-det-les,yeux-amod-rougis,rougis-obl-chagrin,chagrin-det-le,chagrin-conj-fatigue,fatigue-det-la",-0.9,3
Les larmes sont des mots que personne ne peut entendre.,Tears are words that no one can hear.,DET NOUN AUX DET NOUN PRON ADV AUX ADV VERB PUNCT,"sont-nsubj-larmes,sont-cop-sont,sont-obj-mots,mots-det-des,peut-nsubj-personne,peut-advmod-ne,peut-xcomp-entendre,larmes-det-les",-0.9,2
Elle ne trouve plus de raison de se battre.,She no longer finds a reason to fight.,PRON ADV VERB ADV ADP NOUN ADP PRON VERB PUNCT,"trouve-nsubj-elle,trouve-advmod-plus,trouve-obj-raison,raison-case-de,raison-obl-battre,battre-obj-se",-0.9,2
Le chagrin est une douleur qui ne le quitte pas.,Sorrow is a pain that does not leave him.,DET NOUN AUX DET NOUN PRON ADV VERB ADV PUNCT,"est-nsubj-chagrin,est-cop-est,est-obj-douleur,douleur-det-une,quitte-nsubj-qui,quitte-obj-le,quitte-advmod-pas,chagrin-det-le",-1,2
Il se sent seul et complètement démuni.,He feels alone and completely helpless.,PRON PRON VERB ADJ CCONJ ADV ADJ PUNCT,"sent-nsubj-il,sent-obj-se,sent-amod-seul,seul-conj-démuni,démuni-advmod-complètement",-0.9,2
Les souvenirs sont des blessures qui ne se referment jamais.,Memories are wounds that never close.,DET NOUN AUX DET NOUN PRON ADV PRON VERB ADV PUNCT,"sont-nsubj-souvenirs,sont-cop-sont,sont-obj-blessures,blessures-det-des,referment-nsubj-qui,referment-obj-se,referment-advmod-jamais,souvenirs-det-les",-1,2
"Elle a le cœur lourd et l'âme en lambeaux, sans espoir.","Her heart is heavy and her soul in tatters, without hope.",PRON AUX DET NOUN ADJ CCONJ DET NOUN ADP NOUN PUNCT ADP NOUN PUNCT,"a-nsubj-elle,a-obj-cœur,cœur-det-le,cœur-amod-lourd,âme-det-l',âme-obl-lambeaux,lambeaux-case-en,âme-advmod-sans,âme-amod-espoir",-1,2
Le vide est un gouffre sans fond ni lumière.,The emptiness is a bottomless abyss without light.,DET NOUN AUX DET NOUN ADV ADJ CCONJ ADV NOUN PUNCT,"est-nsubj-vide,est-cop-est,est-obj-gouffre,gouffre-det-un,gouffre-advmod-sans,gouffre-amod-fond,gouffre-advmod-ni,gouffre-amod-lumière,vide-det-le",-1,2
La peine est une douleur qui ne s'arrêtera jamais.,The sorrow is a pain that will never stop.,DET NOUN AUX DET NOUN PRON ADV VERB ADV PUNCT,"est-nsubj-peine,est-cop-est,est-obj-douleur,douleur-det-une,arrêtera-nsubj-qui,arrêtera-obj-se,arrêtera-advmod-jamais,peine-det-la",-1,2
"Il ne voit plus de sens à sa vie, à son avenir, à rien du tout.","He no longer sees meaning in his life, in his future, in anything at all.",PRON ADV VERB ADV ADP NOUN ADP DET NOUN PUNCT ADP DET NOUN PUNCT ADP PRON ADV PUNCT,"voit-nsubj-il,voit-advmod-plus,voit-obj-sens,sens-case-de,sens-obl-vie,vie-det-sa,sens-obl-avenir,avenir-det-son,sens-obl-rien,rien-advmod-du tout",-1,2
La vie est un chemin de désespoir sans fin et sans retour.,Life is an endless and irreversible path of despair.,DET NOUN AUX DET NOUN ADP NOUN ADV ADJ CCONJ ADV NOUN PUNCT,"est-nsubj-vie,est-cop-est,est-obj-chemin,chemin-det-un,chemin-nmod-désespoir,désespoir-case-de,chemin-advmod-sans,chemin-amod-fin,chemin-advmod-ni,chemin-amod-retour,vie-det-la",-1,2
Le désespoir est une nuit éternelle et sans fin.,Despair is an eternal and endless night.,DET NOUN AUX DET NOUN ADJ CCONJ ADV ADJ PUNCT,"est-nsubj-désespoir,est-cop-est,est-obj-nuit,nuit-det-une,nuit-amod-éternelle,nuit-advmod-sans,nuit-amod-fin,désespoir-det-le",-1,2
"Elle se sent au fond du gouffre, seule, perdue et brisée.","She feels at the bottom of the abyss, alone, lost and broken.",PRON PRON VERB ADP DET NOUN PUNCT ADJ PUNCT ADJ CCONJ ADJ PUNCT,"sent-nsubj-elle,sent-obj-se,sent-obl-fond,fond-case-au,fond-nmod-gouffre,gouffre-case-du,sent-amod-seule,seule-conj-perdue,perdue-conj-brisée",-1,2
"La tristesse est une prison dont elle ne peut s'échapper, jamais.","Sadness is a prison from which she cannot escape, never.",DET NOUN AUX DET NOUN PRON PRON ADV AUX ADV VERB PUNCT ADV PUNCT,"est-nsubj-tristesse,est-cop-est,est-obj-prison,prison-det-une,peut-nsubj-elle,peut-obj-se,peut-advmod-pas,peut-xcomp-échapper,tristesse-det-la,échapper-advmod-jamais",-1,2
"Il a les yeux rougis par le chagrin, la fatigue et les larmes.","His eyes are red with sorrow, fatigue and tears.",PRON AUX DET NOUN VERB ADP DET NOUN PUNCT DET NOUN CCONJ DET NOUN PUNCT,"a-nsubj-il,a-obj-yeux,yeux-det-les,yeux-amod-rougis,rougis-obl-chagrin,chagrin-det-le,chagrin-conj-fatigue,fatigue-det-la,fatigue-conj-larmes,larmes-det-les",-0.9,3
"Les larmes sont des mots que le cœur ne peut pas dire, des cris silencieux.","Tears are words that the heart cannot say, silent cries.",DET NOUN AUX DET NOUN PRON DET NOUN ADV AUX ADV VERB PUNCT DET NOUN ADJ PUNCT,"sont-nsubj-larmes,sont-cop-sont,sont-obj-mots,mots-det-des,peut-nsubj-cœur,peut-advmod-pas,peut-xcomp-dire,cœur-det-le,mots-obj-cris,cris-det-des,cris-amod-silencieux,larmes-det-les",-0.9,2
"Elle ne trouve plus de raison de se battre, de vivre, de sourire.","She no longer finds a reason to fight, to live, to smile.",PRON ADV VERB ADV ADP NOUN ADP PRON VERB PUNCT ADP VERB PUNCT ADP VERB PUNCT,"trouve-nsubj-elle,trouve-advmod-plus,trouve-obj-raison,raison-case-de,raison-obl-battre,battre-obj-se,raison-obl-vivre,vivre-case-de,raison-obl-sourire,sourire-case-de",-0.9,2
"Le chagrin est une douleur qui ne le quitte pas, jour et nuit.","Sorrow is a pain that does not leave him, day and night.",DET NOUN AUX DET NOUN PRON ADV VERB ADV PUNCT NOUN CCONJ NOUN PUNCT,"est-nsubj-chagrin,est-cop-est,est-obj-douleur,douleur-det-une,quitte-nsubj-qui,quitte-obj-le,quitte-advmod-pas,chagrin-det-le,quitte-advmod-jour,jour-conj-nuit",-1,2
La vie est un chemin de souffrance sans fin et sans espoir.,Life is an endless and hopeless path of suffering.,DET NOUN AUX DET NOUN ADP NOUN ADV ADJ CCONJ ADP NOUN PUNCT,"est-nsubj-vie,est-cop-est,est-obj-chemin,chemin-det-un,chemin-nmod-souffrance,souffrance-case-de,chemin-advmod-sans,chemin-amod-fin,chemin-advmod-ni,chemin-amod-espoir,vie-det-la",-1,2
"Il se sent seul et complètement démuni, sans aucune aide.","He feels alone and completely helpless, without any help.",PRON PRON VERB ADJ CCONJ ADV ADJ PUNCT ADP DET NOUN PUNCT,"sent-nsubj-il,sent-obj-se,sent-amod-seul,seul-conj-démuni,démuni-advmod-complètement,démuni-advmod-sans,démuni-amod-aide,aide-det-aucune",-0.9,2
"Les souvenirs sont des blessures qui ne se referment jamais, laissant des cicatrices profondes.","Memories are wounds that never close, leaving deep scars.",DET NOUN AUX DET NOUN PRON ADV PRON VERB ADV PUNCT VERB DET NOUN ADJ PUNCT,"sont-nsubj-souvenirs,sont-cop-sont,sont-obj-blessures,blessures-det-des,referment-nsubj-qui,referment-obj-se,referment-advmod-jamais,souvenirs-det-les,laissant-obj-cicatrices,cicatrices-det-des,cicatrices-amod-profondes",-1,2
"Elle a le cœur lourd et l'âme en lambeaux, sans espoir ni lumière.","Her heart is heavy and her soul in tatters, without hope or light.",PRON AUX DET NOUN ADJ CCONJ DET NOUN ADP NOUN PUNCT ADP NOUN CCONJ NOUN PUNCT,"a-nsubj-elle,a-obj-cœur,cœur-det-le,cœur-amod-lourd,âme-det-l',âme-obl-lambeaux,lambeaux-case-en,âme-advmod-sans,âme-amod-espoir,âme-advmod-ni,âme-amod-lumière",-1,2
"Le vide est un gouffre sans fond ni lumière, un silence éternel.","The emptiness is a bottomless abyss without light, an eternal silence.",DET NOUN AUX DET NOUN ADV ADJ CCONJ ADV NOUN PUNCT DET NOUN ADJ PUNCT,"est-nsubj-vide,est-cop-est,est-obj-gouffre,gouffre-det-un,gouffre-advmod-sans,gouffre-amod-fond,gouffre-advmod-ni,gouffre-amod-lumière,vide-det-le,silence-det-un,silence-amod-éternel",-1,2
"La peine est une douleur qui ne s'arrêtera jamais, une torture constante.","The sorrow is a pain that will never stop, a constant torture.",DET NOUN AUX DET NOUN PRON ADV VERB ADV PUNCT DET NOUN ADJ PUNCT,"est-nsubj-peine,est-cop-est,est-obj-douleur,douleur-det-une,arrêtera-nsubj-qui,arrêtera-obj-se,arrêtera-advmod-jamais,peine-det-la,torture-det-une,torture-amod-constante",-1,2
"Il ne voit plus de sens à sa vie, à son avenir, à rien du tout, et il est épuisé.","He no longer sees meaning in his life, in his future, in anything at all, and he is exhausted.",PRON ADV VERB ADV ADP NOUN ADP DET NOUN PUNCT ADP DET NOUN PUNCT ADP PRON ADV PUNCT CCONJ PRON AUX ADJ PUNCT,"voit-nsubj-il,voit-advmod-plus,voit-obj-sens,sens-case-de,sens-obl-vie,vie-det-sa,sens-obl-avenir,avenir-det-son,sens-obl-rien,rien-advmod-du tout,est-nsubj-il,est-cop-est,est-amod-épuisé",-1,2
"La vie est un chemin de désespoir sans fin et sans retour, une spirale descendante.","Life is an endless and irreversible path of despair, a downward spiral.",DET NOUN AUX DET NOUN ADP NOUN ADV ADJ CCONJ ADV NOUN PUNCT DET NOUN ADJ PUNCT,"est-nsubj-vie,est-cop-est,est-obj-chemin,chemin-det-un,chemin-nmod-désespoir,désespoir-case-de,chemin-advmod-sans,chemin-amod-fin,chemin-advmod-ni,chemin-amod-retour,vie-det-la,spirale-det-une,spirale-amod-descendante",-1,2
"Le désespoir est une nuit éternelle et sans fin, sans lueur d'espoir.","Despair is an eternal and endless night, without a glimmer of hope.",DET NOUN AUX DET NOUN ADJ CCONJ ADV ADJ PUNCT ADP NOUN ADP NOUN PUNCT,"est-nsubj-désespoir,est-cop-est,est-obj-nuit,nuit-det-une,nuit-amod-éternelle,nuit-advmod-sans,nuit-amod-fin,désespoir-det-le,lueur-case-sans,lueur-nmod-espoir,espoir-case-d'",-1,2
"Elle se sent au fond du gouffre, seule, perdue et brisée, sans personne pour l'aider.","She feels at the bottom of the abyss, alone, lost and broken, with no one to help her.",PRON PRON VERB ADP DET NOUN PUNCT ADJ PUNCT ADJ CCONJ ADJ PUNCT ADP NOUN ADP PRON VERB PUNCT,"sent-nsubj-elle,sent-obj-se,sent-obl-fond,fond-case-au,fond-nmod-gouffre,gouffre-case-du,sent-amod-seule,seule-conj-perdue,perdue-conj-brisée,seule-advmod-sans,seule-amod-personne,personne-obl-aider,aider-case-pour l'",-1,2
"La tristesse est une prison dont elle ne peut s'échapper, jamais, ni trouver la paix.","Sadness is a prison from which she cannot escape, never, nor find peace.",DET NOUN AUX DET NOUN PRON PRON ADV AUX ADV VERB PUNCT ADV PUNCT CCONJ VERB DET NOUN PUNCT,"est-nsubj-tristesse,est-cop-est,est-obj-prison,prison-det-une,peut-nsubj-elle,peut-obj-se,peut-advmod-pas,peut-xcomp-échapper,tristesse-det-la,échapper-advmod-jamais,trouver-obj-paix,paix-det-la",-1,2
"Il a les yeux rougis par le chagrin, la fatigue et les larmes, un fardeau lourd à porter.","His eyes are red with sorrow, fatigue and tears, a heavy burden to bear.",PRON AUX DET NOUN VERB ADP DET NOUN PUNCT DET NOUN CCONJ DET NOUN PUNCT DET NOUN ADJ ADP VERB PUNCT,"a-nsubj-il,a-obj-yeux,yeux-det-les,yeux-amod-rougis,rougis-obl-chagrin,chagrin-det-le,chagrin-conj-fatigue,fatigue-det-la,fatigue-conj-larmes,larmes-det-les,yeux-obj-fardeau,fardeau-det-un,fardeau-amod-lourd,lourd-obl-porter,porter-case-à",-0.9,3
"Les larmes sont des mots que le cœur ne peut pas dire, des cris silencieux et désespérés.","Tears are words that the heart cannot say, silent and desperate cries.",DET NOUN AUX DET NOUN PRON DET NOUN ADV AUX ADV VERB PUNCT DET NOUN ADJ CCONJ ADJ PUNCT,"sont-nsubj-larmes,sont-cop-sont,sont-obj-mots,mots-det-des,peut-nsubj-cœur,peut-advmod-pas,peut-xcomp-dire,cœur-det-le,mots-obj-cris,cris-det-des,cris-amod-silencieux,silencieux-conj-désespérés,larmes-det-les",-0.9,2
"Elle ne trouve plus de raison de se battre, de vivre, de sourire, de rien.","She no longer finds a reason to fight, to live, to smile, to anything.",PRON ADV VERB ADV ADP NOUN ADP PRON VERB PUNCT ADP VERB PUNCT ADP VERB PUNCT ADP PRON PUNCT,"trouve-nsubj-elle,trouve-advmod-plus,trouve-obj-raison,raison-case-de,raison-obl-battre,battre-obj-se,raison-obl-vivre,vivre-case-de,raison-obl-sourire,sourire-case-de,raison-obl-rien",-0.9,2
"Le chagrin est une douleur qui ne le quitte pas, jour et nuit, sans répit.","Sorrow is a pain that does not leave him, day and night, without respite.",DET NOUN AUX DET NOUN PRON ADV VERB ADV PUNCT NOUN CCONJ NOUN PUNCT ADP NOUN PUNCT,"est-nsubj-chagrin,est-cop-est,est-obj-douleur,douleur-det-une,quitte-nsubj-qui,quitte-obj-le,quitte-advmod-pas,chagrin-det-le,quitte-advmod-jour,jour-conj-nuit,quitte-advmod-sans,quitte-amod-répit",-1,2
"La vie est un chemin de souffrance sans fin et sans espoir, une épreuve constante.","Life is an endless and hopeless path of suffering, a constant ordeal.",DET NOUN AUX DET NOUN ADP NOUN ADV ADJ CCONJ ADP NOUN PUNCT DET NOUN ADJ PUNCT,"est-nsubj-vie,est-cop-est,est-obj-chemin,chemin-det-un,chemin-nmod-souffrance,souffrance-case-de,chemin-advmod-sans,chemin-amod-fin,chemin-advmod-ni,chemin-amod-espoir,vie-det-la,épreuve-det-une,épreuve-amod-constante",-1,2
"Il se sent seul et complètement démuni, sans aucune aide ni soutien.","He feels alone and completely helpless, without any help or support.",PRON PRON VERB ADJ CCONJ ADV ADJ PUNCT ADP DET NOUN CCONJ NOUN PUNCT,"sent-nsubj-il,sent-obj-se,sent-amod-seul,seul-conj-démuni,démuni-advmod-complètement,démuni-advmod-sans,démuni-amod-aide,aide-det-aucune,aide-conj-soutien",-0.9,2
"Les souvenirs sont des blessures qui ne se referment jamais, laissant des cicatrices profondes et douloureuses.","Memories are wounds that never close, leaving deep and painful scars.",DET NOUN AUX DET NOUN PRON ADV PRON VERB ADV PUNCT VERB DET NOUN ADJ CCONJ ADJ PUNCT,"sont-nsubj-souvenirs,sont-cop-sont,sont-obj-blessures,blessures-det-des,referment-nsubj-qui,referment-obj-se,referment-advmod-jamais,souvenirs-det-les,laissant-obj-cicatrices,cicatrices-det-des,cicatrices-amod-profondes,profondes-conj-douloureuses",-1,2
"Elle a le cœur lourd et l'âme en lambeaux, sans espoir ni lumière, ni paix.","Her heart is heavy and her soul in tatters, without hope or light, or peace.",PRON AUX DET NOUN ADJ CCONJ DET NOUN ADP NOUN PUNCT ADP NOUN CCONJ NOUN CCONJ NOUN PUNCT,"a-nsubj-elle,a-obj-cœur,cœur-det-le,cœur-amod-lourd,âme-det-l',âme-obl-lambeaux,lambeaux-case-en,âme-advmod-sans,âme-amod-espoir,âme-advmod-ni,âme-amod-lumière,âme-advmod-ni,âme-amod-paix",-1,2
"Le vide est un gouffre sans fond ni lumière, un silence éternel et pesant.","The emptiness is a bottomless abyss without light, an eternal and heavy silence.",DET NOUN AUX DET NOUN ADV ADJ CCONJ ADV NOUN PUNCT DET NOUN ADJ CCONJ ADJ PUNCT,"est-nsubj-vide,est-cop-est,est-obj-gouffre,gouffre-det-un,gouffre-advmod-sans,gouffre-amod-fond,gouffre-advmod-ni,gouffre-amod-lumière,vide-det-le,silence-det-un,silence-amod-éternel,éternel-conj-pesant",-1,2
"La peine est une douleur qui ne s'arrêtera jamais, une torture constante et insoutenable.","The sorrow is a pain that will never stop, a constant and unbearable torture.",DET NOUN AUX DET NOUN PRON ADV VERB ADV PUNCT DET NOUN ADJ CCONJ ADJ PUNCT,"est-nsubj-peine,est-cop-est,est-obj-douleur,douleur-det-une,arrêtera-nsubj-qui,arrêtera-obj-se,arrêtera-advmod-jamais,peine-det-la,torture-det-une,torture-amod-constante,constante-conj-insoutenable",-1,2
"Il ne voit plus de sens à sa vie, à son avenir, à rien du tout, et il est épuisé et désespéré.","He no longer sees meaning in his life, in his future, in anything at all, and he is exhausted and desperate.",PRON ADV VERB ADV ADP NOUN ADP DET NOUN PUNCT ADP DET NOUN PUNCT ADP PRON ADV PUNCT CCONJ PRON AUX ADJ CCONJ ADJ PUNCT,"voit-nsubj-il,voit-advmod-plus,voit-obj-sens,sens-case-de,sens-obl-vie,vie-det-sa,sens-obl-avenir,avenir-det-son,sens-obl-rien,rien-advmod-du tout,est-nsubj-il,est-cop-est,est-amod-épuisé,épuisé-conj-désespéré",-1,2
"La vie est un chemin de désespoir sans fin et sans retour, une spirale descendante et sans issue.","Life is an endless and irreversible path of despair, a downward and hopeless spiral.",DET NOUN AUX DET NOUN ADP NOUN ADV ADJ CCONJ ADV NOUN PUNCT DET NOUN ADJ CCONJ ADP NOUN PUNCT,"est-nsubj-vie,est-cop-est,est-obj-chemin,chemin-det-un,chemin-nmod-désespoir,désespoir-case-de,chemin-advmod-sans,chemin-amod-fin,chemin-advmod-ni,chemin-amod-retour,vie-det-la,spirale-det-une,spirale-amod-descendante,spirale-advmod-sans,spirale-amod-issue",-1,2
"Le désespoir est une nuit éternelle et sans fin, sans lueur d'espoir ni de réconfort.","Despair is an eternal and endless night, without a glimmer of hope or comfort.",DET NOUN AUX DET NOUN ADJ CCONJ ADV ADJ PUNCT ADP NOUN ADP NOUN CCONJ ADP NOUN PUNCT,"est-nsubj-désespoir,est-cop-est,est-obj-nuit,nuit-det-une,nuit-amod-éternelle,nuit-advmod-sans,nuit-amod-fin,désespoir-det-le,lueur-case-sans,lueur-nmod-espoir,espoir-case-d',lueur-advmod-ni,lueur-amod-réconfort",-1,2
"Elle se sent au fond du gouffre, seule, perdue et brisée, sans personne pour l'aider ni la comprendre.","She feels at the bottom of the abyss, alone, lost and broken, with no one to help her or understand her.",PRON PRON VERB ADP DET NOUN PUNCT ADJ PUNCT ADJ CCONJ ADJ PUNCT ADP NOUN ADP PRON VERB CCONJ PRON VERB PUNCT,"sent-nsubj-elle,sent-obj-se,sent-obl-fond,fond-case-au,fond-nmod-gouffre,gouffre-case-du,sent-amod-seule,seule-conj-perdue,perdue-conj-brisée,seule-advmod-sans,seule-amod-personne,personne-obl-aider,aider-case-pour l',aider-conj-comprendre,comprendre-obj-la",-1,2
"La tristesse est une prison dont elle ne peut s'échapper, jamais, ni trouver la paix, ni la lumière.","Sadness is a prison from which she cannot escape, never, nor find peace, nor light.",DET NOUN AUX DET NOUN PRON PRON ADV AUX ADV VERB PUNCT ADV PUNCT CCONJ VERB DET NOUN CCONJ DET NOUN PUNCT,"est-nsubj-tristesse,est-cop-est,est-obj-prison,prison-det-une,peut-nsubj-elle,peut-obj-se,peut-advmod-pas,peut-xcomp-échapper,tristesse-det-la,échapper-advmod-jamais,trouver-obj-paix,paix-det-la,trouver-obj-lumière,lumière-det-la",-1,2
"Il a les yeux rougis par le chagrin, la fatigue et les larmes, un fardeau lourd à porter et à supporter.","His eyes are red with sorrow, fatigue and tears, a heavy burden to bear and endure.",PRON AUX DET NOUN VERB ADP DET NOUN PUNCT DET NOUN CCONJ DET NOUN PUNCT DET NOUN ADJ ADP VERB CCONJ ADP VERB PUNCT,"a-nsubj-il,a-obj-yeux,yeux-det-les,yeux-amod-rougis,rougis-obl-chagrin,chagrin-det-le,chagrin-conj-fatigue,fatigue-det-la,fatigue-conj-larmes,larmes-det-les,yeux-obj-fardeau,fardeau-det-un,fardeau-amod-lourd,lourd-obl-porter,porter-case-à,porter-conj-supporter",-0.9,3
"Les larmes sont des mots que le cœur ne peut pas dire, des cris silencieux et désespérés, des souffrances cachées.","Tears are words that the heart cannot say, silent and desperate cries, hidden sufferings.",DET NOUN AUX DET NOUN PRON DET NOUN ADV AUX ADV VERB PUNCT DET NOUN ADJ CCONJ ADJ PUNCT DET NOUN VERB PUNCT,"sont-nsubj-larmes,sont-cop-sont,sont-obj-mots,mots-det-des,peut-nsubj-cœur,peut-advmod-pas,peut-xcomp-dire,cœur-det-le,mots-obj-cris,cris-det-des,cris-amod-silencieux,silencieux-conj-désespérés,mots-obj-souffrances,souffrances-det-des,souffrances-amod-cachées,larmes-det-les",-0.9,2
"Elle ne trouve plus de raison de se battre, de vivre, de sourire, de rien, elle est épuisée.","She no longer finds a reason to fight, to live, to smile, to anything, she is exhausted.",PRON ADV VERB ADV ADP NOUN ADP PRON VERB PUNCT ADP VERB PUNCT ADP VERB PUNCT ADP PRON PUNCT PUNCT PRON AUX ADJ PUNCT,"trouve-nsubj-elle,trouve-advmod-plus,trouve-obj-raison,raison-case-de,raison-obl-battre,battre-obj-se,raison-obl-vivre,vivre-case-de,raison-obl-sourire,sourire-case-de,raison-obl-rien,est-nsubj-elle,est-cop-est,est-amod-épuisée",-0.9,2
"Le chagrin est une douleur qui ne le quitte pas, jour et nuit, sans répit ni espoir.","Sorrow is a pain that does not leave him, day and night, without respite or hope.",DET NOUN AUX DET NOUN PRON ADV VERB ADV PUNCT NOUN CCONJ NOUN PUNCT ADP NOUN CCONJ NOUN PUNCT,"est-nsubj-chagrin,est-cop-est,est-obj-douleur,douleur-det-une,quitte-nsubj-qui,quitte-obj-le,quitte-advmod-pas,chagrin-det-le,quitte-advmod-jour,jour-conj-nuit,quitte-advmod-sans,quitte-amod-répit,quitte-advmod-ni,quitte-amod-espoir",-1,2
"La vie est un chemin de souffrance sans fin et sans espoir, une épreuve constante et cruelle.","Life is an endless and hopeless path of suffering, a constant and cruel ordeal.",DET NOUN AUX DET NOUN ADP NOUN ADV ADJ CCONJ ADP NOUN PUNCT DET NOUN ADJ CCONJ ADJ PUNCT,"est-nsubj-vie,est-cop-est,est-obj-chemin,chemin-det-un,chemin-nmod-souffrance,souffrance-case-de,chemin-advmod-sans,chemin-amod-fin,chemin-advmod-ni,chemin-amod-espoir,vie-det-la,épreuve-det-une,épreuve-amod-constante,constante-conj-cruelle",-1,2
"Il se sent seul et complètement démuni, sans aucune aide ni soutien, sans personne.","He feels alone and completely helpless, without any help or support, without anyone.",PRON PRON VERB ADJ CCONJ ADV ADJ PUNCT ADP DET NOUN CCONJ NOUN PUNCT ADP NOUN PUNCT,"sent-nsubj-il,sent-obj-se,sent-amod-seul,seul-conj-démuni,démuni-advmod-complètement,démuni-advmod-sans,démuni-amod-aide,aide-det-aucune,aide-conj-soutien,démuni-advmod-sans,démuni-amod-personne",-0.9,2
"Les souvenirs sont des blessures qui ne se referment jamais, laissant des cicatrices profondes et douloureuses, des marques indélébiles.","Memories are wounds that never close, leaving deep and painful scars, indelible marks.",DET NOUN AUX DET NOUN PRON ADV PRON VERB ADV PUNCT VERB DET NOUN ADJ CCONJ ADJ PUNCT DET NOUN ADJ PUNCT,"sont-nsubj-souvenirs,sont-cop-sont,sont-obj-blessures,blessures-det-des,referment-nsubj-qui,referment-obj-se,referment-advmod-jamais,souvenirs-det-les,laissant-obj-cicatrices,cicatrices-det-des,cicatrices-amod-profondes,profondes-conj-douloureuses,laissant-obj-marques,marques-det-des,marques-amod-indélébiles",-1,2
"Elle a le cœur lourd et l'âme en lambeaux, sans espoir ni lumière, ni paix, ni réconfort.","Her heart is heavy and her soul in tatters, without hope or light, or peace, or comfort.",PRON AUX DET NOUN ADJ CCONJ DET NOUN ADP NOUN PUNCT ADP NOUN CCONJ NOUN CCONJ NOUN CCONJ NOUN PUNCT,"a-nsubj-elle,a-obj-cœur,cœur-det-le,cœur-amod-lourd,âme-det-l',âme-obl-lambeaux,lambeaux-case-en,âme-advmod-sans,âme-amod-espoir,âme-advmod-ni,âme-amod-lumière,âme-advmod-ni,âme-amod-paix,âme-advmod-ni,âme-amod-réconfort",-1,2
"Le vide est un gouffre sans fond ni lumière, un silence éternel et pesant, une obscurité totale.","The emptiness is a bottomless abyss without light, an eternal and heavy silence, a total darkness.",DET NOUN AUX DET NOUN ADV ADJ CCONJ ADV NOUN PUNCT DET NOUN ADJ CCONJ ADJ PUNCT DET NOUN ADJ PUNCT,"est-nsubj-vide,est-cop-est,est-obj-gouffre,gouffre-det-un,gouffre-advmod-sans,gouffre-amod-fond,gouffre-advmod-ni,gouffre-amod-lumière,vide-det-le,silence-det-un,silence-amod-éternel,éternel-conj-pesant,obscurité-det-une,obscurité-amod-totale",-1,2
"La peine est une douleur qui ne s'arrêtera jamais, une torture constante et insoutenable, un fardeau écrasant.","The sorrow is a pain that will never stop, a constant and unbearable torture, an overwhelming burden.",DET NOUN AUX DET NOUN PRON ADV VERB ADV PUNCT DET NOUN ADJ CCONJ ADJ PUNCT DET NOUN ADJ PUNCT,"est-nsubj-peine,est-cop-est,est-obj-douleur,douleur-det-une,arrêtera-nsubj-qui,arrêtera-obj-se,arrêtera-advmod-jamais,peine-det-la,torture-det-une,torture-amod-constante,constante-conj-insoutenable,fardeau-det-un,fardeau-amod-écrasant",-1,2
